"id","word","comparison_word"
"5659","بداقبال","بداقبال"
"5660","آفرینش","افرینش"
"5661","سهامی عام","سهامیعام"
"5416","سرتاسر","سرتاسر"
"5662","گیتاربرقی","گیتاربرقی"
"5663","اقیانوس منجمد شمالی","اقیانوسمنجمدشمالی"
"5665","یاجوج و ماجوج","یاجوجوماجوج"
"5667","گلودرد","گلودرد"
"5673","کم طاقت","کمطاقت"
"5675","آفیس","افیس"
"5677","آگوست","اگوست"
"5678","آریاشهر","اریاشهر"
"5688","ینوشا","ینوشا"
"5689","لاالله اله الله","لااللهالهالله"
"5719","انجیرخشک","انجیرخشک"
"5720","ارگونومی","ارگونومی"
"5721","اردشیر بابکان","اردشیربابکان"
"5722","اتومکانیک","اتومکانیک"
"5731","اداره آموزش وپرورش","ادارهاموزشوپرورش"
"5732","اجاره نشینی","اجارهنشینی"
"5733","اتلتیکو مادرید","اتلتیکومادرید"
"5734","الکساندر گراهامبر","الکساندرگراهامبر"
"5735","البرادعی","البرادعی"
"5736","لاستیک ماشین","لاستیکماشین"
"5739","ستون پنجم","ستونپنجم"
"5740","ازیترومایسین","ازیترومایسین"
"5764","وزن کردن","وزنکردن"
"5770","ندامتگاہ","ندامتگاہ"
"5773","هشداردهنده","هشداردهنده"
"5774","تیره و تار","تیرهوتار"
"5776","فتحعلی شاه","فتحعلیشاه"
"5777","غیر قانونی","غیرقانونی"
"5781","رمل و اسطرلاب","رملواسطرلاب"
"5782","چهل ساله","چهلساله"
"5783","وسواس داشتن","وسواسداشتن"
"5784","واکر","واکر"
"5792","دلالی","دلالی"
"5793","تک سوار","تکسوار"
"5799","هدیه تهرانی","هدیهتهرانی"
"5812","میلگرد","میلگرد"
"5817","هاردیسک","هاردیسک"
"5819","چرخ دنده","چرخدنده"
"5820","کادویی","کادویی"
"5821","نان باگت","نانباگت"
"5822","ماتریالیست","ماتریالیست"
"5823","فاق کوتاه","فاقکوتاه"
"5824","دعوت نامه","دعوتنامه"
"5826","واریان","واریان"
"5827","اداره بازرگانی","ادارهبازرگانی"
"5828","کامرانیه","کامرانیه"
"5853","یالثارات الحسین","یالثاراتالحسین"
"5858","ریسندگی و بافندگی","ریسندگیوبافندگی"
"5863","اسکندر مقدونی","اسکندرمقدونی"
"5864","نوشکفته","نوشکفته"
"5867","کلاژن","کلاژن"
"5869","اتحادجماهیر شوروی","اتحادجماهیرشوروی"
"5872","ارث و میراث","ارثومیراث"
"5873","امین آباد","امیناباد"
"5874","امام حسن","امامحسن"
"5875","آقا بزرگ","اقابزرگ"
"5880","اتومبیل رانی","اتومبیلرانی"
"5915","نیروهوایی","نیروهوایی"
"5919","ماکزیمم","ماکزیمم"
"5928","اجاره کردن","اجارهکردن"
"5929","آھن","اھن"
"5930","آجرپزی","اجرپزی"
"5931","عهدنامه گلستان","عهدنامهگلستان"
"5932","شیر کاکائو","شیرکاکایو"
"5664","آبرومندانه","ابرومندانه"
"5668","لای روبی","لایروبی"
"5674","وزیرخارجه","وزیرخارجه"
"5676","اسنک","اسنک"
"5723","انبرقفلی","انبرقفلی"
"5724","ارباب رعیت","اربابرعیت"
"5725","ورم پا","ورمپا"
"5726","گهر رود","گهررود"
"5727","انبوه سازی","انبوهسازی"
"5728","انباشته شده","انباشتهشده"
"5729","آلبرت انیشتین","البرتانیشتین"
"5730","آدم ربایی","ادمربایی"
"5738","کشتی فرنگی","کشتیفرنگی"
"5417","سمندریان","سمندریان"
"5741","اطاعت کردن","اطاعتکردن"
"5743","وزیرجنگ","وزیرجنگ"
"5748","لاله جین","لالهجین"
"5761","ریزاندام","ریزاندام"
"5767","چهل و چهار","چهلوچهار"
"5772","حراجی","حراجی"
"5775","تیک عصبی","تیکعصبی"
"5778","هیدرات کربن","هیدراتکربن"
"5779","نودل","نودل"
"5785","قلاب سنگ","قلابسنگ"
"5786","نورگیر","نورگیر"
"5788","کنده درخت","کندهدرخت"
"5795","چرخ و فلک","چرخوفلک"
"5797","ته استکان","تهاستکان"
"5813","عیسی بن مریم","عیسیبنمریم"
"5815","سبوس دار","سبوسدار"
"5818","قصی القلب","قصیالقلب"
"5825","بهرام رادان","بهرامرادان"
"5854","پله کان","پلهکان"
"5865","مدت دار","مدتدار"
"5866","عید غدیر","عیدغدیر"
"5868","عبدی","عبدی"
"5870","مدال طلا","مدالطلا"
"5881","الهام گرفتن","الهامگرفتن"
"5918","مثانه","مثانه"
"5922","باقالی پلو","باقالیپلو"
"5923","انجیر خشک","انجیرخشک"
"5924","امنیت اجتماعی","امنیتاجتماعی"
"5925","الکساندر دوما","الکساندردوما"
"5926","العربیه","العربیه"
"5933","صبح بخیر","صبحبخیر"
"5946","ساعت شنی","ساعتشنی"
"5669","صرف نظر","صرفنظر"
"5679","آنالیا","انالیا"
"5680","اناران","اناران"
"5684","ال احمد","الاحمد"
"5691","چهره ارا","چهرهارا"
"5697","ادینبورگ","ادینبورگ"
"5698","ابرمرد","ابرمرد"
"5702","آب هویج","ابهویج"
"5744","لندروور","لندروور"
"5752","سیلیسیوم","سیلیسیوم"
"5780","عابرپیاده","عابرپیاده"
"5787","ھاجر","ھاجر"
"5789","چرخ وفلک","چرخوفلک"
"5790","سھام","سھام"
"5791","تی بگ","تیبگ"
"5796","یزدان فر","یزدانفر"
"5801","پیک نوروزی","پیکنوروزی"
"5803","جهاد اکبر","جهاداکبر"
"5804","رمضان الکریم","رمضانالکریم"
"5814","داریوش سوم","داریوشسوم"
"5816","دکوراژه","دکوراژه"
"5829","نیم دانه","نیمدانه"
"5855","مرجان دریایی","مرجاندریایی"
"5871","عاج فیل","عاجفیل"
"5882","الکتریسیته ساکن","الکتریسیتهساکن"
"5934","طفلان مسلم","طفلانمسلم"
"5935","شط کارون","شطکارون"
"5936","شاتل","شاتل"
"5937","شرعی","شرعی"
"5939","شالی زار","شالیزار"
"5940","شمع سازی","شمعسازی"
"5942","سرگروهبان","سرگروهبان"
"5943","ساده زیستن","سادهزیستن"
"5944","ساده زیستی","سادهزیستی"
"5945","سانترال","سانترال"
"5959","دلبران","دلبران"
"5974","یااباصالح","یااباصالح"
"6011","ابی عبدالله","ابیعبدالله"
"6014","رمز موفقیت","رمزموفقیت"
"6020","گیتار برقی","گیتاربرقی"
"6021","یاحسین بن علی","یاحسینبنعلی"
"6023","هواگیری","هواگیری"
"6024","وعده غذایی","وعدهغذایی"
"6025","نون بربری","نونبربری"
"6027","مات ومبهوت","ماتومبهوت"
"6028","فی الحال","فیالحال"
"6029","میلاد نور","میلادنور"
"6032","دهلیز چپ","دهلیزچپ"
